date;value;year;month;day;week;startDate;endDate;weekOrder
2017-10-19 00:00:00;0.63;2017;10;19;43;-;-;3
2017-10-20 00:00:00;1.27;2017;10;20;43;-;-;3
2017-10-21 00:00:00;0.27;2017;10;21;43;-;-;3
2017-10-22 00:00:00;0.3;2017;10;22;43;-;-;3
2017-10-23 00:00:00;0.5;2017;10;23;43;-;-;3
2017-10-24 00:00:00;1.6;2017;10;24;44;2017 10 24;2017 10 30;4
2017-10-25 00:00:00;1.64;2017;10;25;44;-;-;4
2017-10-26 00:00:00;1.24;2017;10;26;44;-;-;4
2017-10-27 00:00:00;0.71;2017;10;27;44;-;-;4
2017-10-28 00:00:00;0.25;2017;10;28;44;-;-;4
2017-10-29 00:00:00;0.25;2017;10;29;44;-;-;4
2017-10-30 00:00:00;0.25;2017;10;30;44;-;-;4
2017-10-31 00:00:00;0.58;2017;10;31;45;2017 10 31;2017 11 6;1
2017-11-01 00:00:00;1.61;2017;11;1;45;-;-;1
2017-11-02 00:00:00;1.09;2017;11;2;45;-;-;1
2017-11-03 00:00:00;0.66;2017;11;3;45;-;-;1
2017-11-04 00:00:00;0.5;2017;11;4;45;-;-;1
2017-11-05 00:00:00;0.34;2017;11;5;45;-;-;1
2017-11-06 00:00:00;0.45;2017;11;6;45;-;-;1
2017-11-07 00:00:00;0.38;2017;11;7;46;2017 11 7;2017 11 13;2
2017-11-08 00:00:00;0.35;2017;11;8;46;-;-;2
2017-11-09 00:00:00;0.43;2017;11;9;46;-;-;2
2017-11-10 00:00:00;0.47;2017;11;10;46;-;-;2
2017-11-11 00:00:00;0.29;2017;11;11;46;-;-;2
2017-11-12 00:00:00;0.31;2017;11;12;46;-;-;2
2017-11-13 00:00:00;0.5;2017;11;13;46;-;-;2
2017-11-14 00:00:00;0.35;2017;11;14;47;2017 11 14;2017 11 20;3
2017-11-15 00:00:00;0.31;2017;11;15;47;-;-;3
2017-11-16 00:00:00;1.14;2017;11;16;47;-;-;3
2017-11-17 00:00:00;0.45;2017;11;17;47;-;-;3
2017-11-18 00:00:00;0.59;2017;11;18;47;-;-;3
2017-11-19 00:00:00;0.73;2017;11;19;47;-;-;3
2017-11-20 00:00:00;0.93;2017;11;20;47;-;-;3
2017-11-21 00:00:00;0.58;2017;11;21;48;2017 11 21;2017 11 27;4
2017-11-22 00:00:00;0.25;2017;11;22;48;-;-;4
2017-11-23 00:00:00;1.87;2017;11;23;48;-;-;4
2017-11-24 00:00:00;0.45;2017;11;24;48;-;-;4
2017-11-25 00:00:00;0.26;2017;11;25;48;-;-;4
2017-11-26 00:00:00;0.39;2017;11;26;48;-;-;4
2017-11-27 00:00:00;0.74;2017;11;27;48;-;-;4
2017-11-28 00:00:00;0.56;2017;11;28;49;2017 11 28;2017 12 3;1
2017-11-29 00:00:00;0.56;2017;11;29;49;-;-;1
2017-11-30 00:00:00;0.37;2017;11;30;49;-;-;1
2017-11-31 00:00:00;0.36;2017;11;31;49;-;-;1
2017-12-01 00:00:00;0.36;2017;12;1;49;-;-;1
2017-12-02 00:00:00;0.27;2017;12;2;49;-;-;1
2017-12-03 00:00:00;0.39;2017;12;3;49;-;-;1
2017-12-04 00:00:00;0.87;2017;12;4;50;2017 12 4;2017 12 10;2
2017-12-05 00:00:00;1.14;2017;12;5;50;-;-;2
2017-12-06 00:00:00;1.31;2017;12;6;50;-;-;2
2017-12-07 00:00:00;1.2;2017;12;7;50;-;-;2
2017-12-08 00:00:00;0.26;2017;12;8;50;-;-;2
2017-12-09 00:00:00;0.33;2017;12;9;50;-;-;2
2017-12-10 00:00:00;0.27;2017;12;10;50;-;-;2
2017-12-11 00:00:00;0.26;2017;12;11;51;2017 12 11;2017 12 17;3
2017-12-12 00:00:00;0.43;2017;12;12;51;-;-;3
2017-12-13 00:00:00;0.86;2017;12;13;51;-;-;3
2017-12-14 00:00:00;0.37;2017;12;14;51;-;-;3
2017-12-15 00:00:00;0.28;2017;12;15;51;-;-;3
2017-12-16 00:00:00;0.32;2017;12;16;51;-;-;3
2017-12-17 00:00:00;0.5;2017;12;17;51;-;-;3
2017-12-18 00:00:00;0.49;2017;12;18;52;2017 12 18;2017 12 24;4
2017-12-19 00:00:00;0.77;2017;12;19;52;-;-;4
2017-12-20 00:00:00;0.89;2017;12;20;52;-;-;4
2017-12-21 00:00:00;1.33;2017;12;21;52;-;-;4
2017-12-22 00:00:00;1.1;2017;12;22;52;-;-;4
2017-12-23 00:00:00;0.81;2017;12;23;52;-;-;4
2017-12-24 00:00:00;0.88;2017;12;24;52;-;-;4
2017-12-25 00:00:00;0.36;2017;12;25;53;2017 12 25;2017 12 31;1
2017-12-26 00:00:00;1.01;2017;12;26;53;-;-;1
2017-12-27 00:00:00;0.31;2017;12;27;53;-;-;1
2017-12-28 00:00:00;0.82;2017;12;28;53;-;-;1
2017-12-29 00:00:00;1.71;2017;12;29;53;-;-;1
2017-12-30 00:00:00;2.69;2017;12;30;53;-;-;1
2017-12-31 00:00:00;0.41;2017;12;31;53;-;-;1
2018-01-01 00:00:00;0.46;2018;1;1;54;2018 1 1;2018 1 7;2
2018-01-02 00:00:00;0.32;2018;1;2;54;-;-;2
2018-01-03 00:00:00;0.26;2018;1;3;54;-;-;2
2018-01-04 00:00:00;0.63;2018;1;4;54;-;-;2
2018-01-05 00:00:00;0.28;2018;1;5;54;-;-;2
2018-01-06 00:00:00;0.26;2018;1;6;54;-;-;2
2018-01-07 00:00:00;0.39;2018;1;7;54;-;-;2
