date,MXIL
2019-06-26,0.435
2019-06-27,0.6262
2019-06-28,0.3887
2019-06-29,0.355
2019-06-30,0.2645
2019-07-01,0.6343
2019-07-02,0.6343
2019-07-03,1.0004
2019-07-04,1.2116
2019-07-05,0.2204
2019-07-06,0.255
2019-07-07,0.2079
2019-07-08,0.3175
2019-07-09,0.5933
2019-07-10,0.9587
2019-07-11,1.3679
2019-07-12,0.512
2019-07-13,0.2154
2019-07-14,0.2766
2019-07-15,0.5008
2019-07-16,0.8804
2019-07-17,0.7329
2019-07-18,0.8113
2019-07-19,1.2116
2019-07-20,0.4504
2019-07-21,0.2637
2019-07-22,1.7441
2019-07-23,0.8483
2019-07-24,2.2004
2019-07-25,2.2891
2019-07-26,0.7116
2019-07-27,0.48
2019-07-28,0.4266
2019-07-29,0.6712
2019-07-30,0.6631
2019-07-31,0.7516
2019-08-01,1.4916
2019-08-02,1.2054
2019-08-03,1.1725
2019-08-04,0.7804
2019-08-05,2.49
2019-08-06,0.7037
2019-08-07,0.985
2019-08-08,3.1045
2019-08-09,2.2866
2019-08-10,2.28
2019-08-11,1.455
2019-08-12,1.46
2019-08-13,0.6304
2019-08-14,0.725
2019-08-15,0.57
2019-08-16,0.58
2019-08-17,0.57
2019-08-18,0.4333
2019-08-19,0.2958
2019-08-20,0.2604
2019-08-21,0.6037
2019-08-22,0.6579
2019-08-23,2.1683
2019-08-24,0.7012
2019-08-25,0.1995
2019-08-26,0.475
2019-08-27,0.5354
2019-08-28,0.4395
2019-08-29,0.5229
2019-08-30,0.627
2019-08-31,0.3554
2019-09-01,0.2079
2019-09-02,0.212
2019-09-03,0.9745
2019-09-04,1.0725
2019-09-05,0.3508
2019-09-06,0.65
2019-09-07,0.8095
2019-09-08,0.7391
2019-09-09,0.2504
2019-09-10,0.3618
2019-09-11,0.4508
2019-09-12,1.1425
2019-09-13,0.6308
2019-09-14,0.59
2019-09-15,0.2483
2019-09-16,0.9466
2019-09-17,1.7512
2019-09-18,1.0333
2019-09-19,0.4466
2019-09-20,2.3562
2019-09-21,0.5095
2019-09-22,0.577
2019-09-23,1.41
2019-09-24,1.0829
2019-09-25,1.8631
2019-09-26,1.672
2019-09-27,0.7925
2019-09-28,0.6079
2019-09-29,0.6704
2019-09-30,1.0133
2019-10-01,0.35
2019-10-02,0.437
2019-10-03,0.992
2019-10-04,0.475
2019-10-05,0.7275
2019-10-06,0.802
2019-10-07,1.8566
2019-10-08,1.8027
2019-10-09,1.8027
2019-10-10,1.7487
2019-10-11,3.0362
2019-10-12,0.9525
2019-10-13,0.5225
2019-10-14,0.4854
2019-10-15,1.5483
2019-10-16,1.7758
2019-10-17,1.5758
2019-10-18,1.63
2019-10-19,0.4945
2019-10-20,0.435
2019-10-21,1.305
2019-10-22,1.5873
2019-10-23,0.9091
2019-10-24,2.6441
2019-10-25,3.4162
2019-10-26,4.6733
2019-10-27,2.4637
2019-10-28,4.2291
2019-10-29,5.317
2019-10-30,4.5637
2019-10-31,2.9291
2019-11-01,2.4891
2019-11-02,0.5362
2019-11-03,0.5895
2019-11-04,1.2558
2019-11-05,0.5454
2019-11-06,1.3616
2019-11-07,0.7
2019-11-08,0.8358
2019-11-09,0.4787
2019-11-10,0.5291
2019-11-11,0.8858
2019-11-12,1.1279
2019-11-13,0.7766
2019-11-14,0.5
2019-11-15,0.6104
2019-11-16,0.6654
2019-11-17,0.8729
2019-11-18,1.2166
2019-11-19,3.83
2019-11-20,4.118
2019-11-21,4.4062
2019-11-22,1.0729
2019-11-23,0.6095
2019-11-24,2.1379
2019-11-25,3.9416
2019-11-26,2.0545
2019-11-27,2.545
2019-11-28,2.545
2019-11-29,3.035
2019-11-30,1.547
2019-12-01,0.8787
2019-12-02,1.3666
2019-12-03,3.062
2019-12-04,8.6016
2019-12-05,6.4034
2019-12-06,6.6658
2019-12-07,3.5845
2019-12-08,1.117
2019-12-09,1.6604
2019-12-10,5.9575
2019-12-11,1.5583
2019-12-12,0.6683
2019-12-13,0.3983
2019-12-14,5.1404
2019-12-15,0.5383
2019-12-16,0.5591
2019-12-17,1.95
2019-12-18,1.2691
2019-12-19,1.6479
2019-12-20,2.5433
2019-12-21,1.5637
2019-12-22,0.4045
2019-12-23,5.0541
2019-12-24,4.987
2019-12-25,5.8395
2019-12-26,3.5308
2019-12-27,5.1812
2019-12-28,8.275
